"plate","state","license_type","summons_number","issue_date","violation_time","violation","judgment_entry_date","fine_amount","penalty_amount","interest_amount","reduction_amount","payment_amount","amount_due","precinct","county","issuing_agency","violation_status","summons_image"
"EFR9335","NY","PAS","8967338119","02/23/2022","01:26P","REG. STICKER-EXPIRED/MISSING",,"65","0","0","65","0","0","049","BX","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rNTZUWHBQUkVWNFQxRTlQUT09&locationName=_____________________)"
"IAMADIVA","NY","SRF","8967705128","02/23/2022","12:40P","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","35","0","0","052","BX","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rNTZZM2RPVkVWNVQwRTlQUT09&locationName=_____________________)"
"RTK2687","GA","PAS","8968867800","02/24/2022","09:57A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","042","BX","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rOUVaekpPZW1kM1RVRTlQUT09&locationName=_____________________)"
"LEJ8304","NY","PAS","9085879449","11/02/2023","08:37A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","067","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk5FNVVaek5QVkZFd1QxRTlQUT09&locationName=_____________________)"
"HCV9465","NY","PAS","4842468397","05/22/2023","08:19A","PHTO SCHOOL ZN SPEED VIOLATION",,"50","25","0","0","75","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMXFVVEpQUkUwMVRuYzlQUT09&locationName=_____________________)"
"JMN2506","NY","PAS","9085879486","11/02/2023","08:56A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","067","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk5FNVVaek5QVkZFMFRtYzlQUT09&locationName=_____________________)"
"KUB6996","NY","PAS","9085879425","11/02/2023","08:31A","NO PARKING-STREET CLEANING","05/09/2024","65","60","0.09","0.03","125.06","0","067","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk5FNVVaek5QVkZGNVRsRTlQUT09&locationName=_____________________)"
"JPL5360","NY","PAS","8840979244","02/24/2021","11:50A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","078","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FMUVhek5QVkVrd1RrRTlQUT09&locationName=_____________________)"
"94471JZ","NY","COM","8823976352","01/28/2021","11:56A","NO STANDING-COMM METER ZONE",,"115","30","0","0","145","0","018","NY","TRAFFIC","HEARING ADJOURNMENT","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVVMTZhek5PYWsweFRXYzlQUT09&locationName=_____________________)"
"D49MZS","NJ","PAS","8850379365","06/09/2021","06:27A","FIRE HYDRANT",,"115","0","0","0","115","0","107","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VMUVUVE5QVkUweVRsRTlQUT09&locationName=_____________________)"
