plate=EFR9335 | state=NY | license_type=PAS | summons_number=8967338119 | issue_date=02/23/2022 | violation_time=01:26P | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=IAMADIVA | state=NY | license_type=SRF | summons_number=8967705128 | issue_date=02/23/2022 | violation_time=12:40P | violation_county= | fine_amount=35 | penalty_amount=0 | amount_due=0
plate=RTK2687 | state=GA | license_type=PAS | summons_number=8968867800 | issue_date=02/24/2022 | violation_time=09:57A | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=LEJ8304 | state=NY | license_type=PAS | summons_number=9085879449 | issue_date=11/02/2023 | violation_time=08:37A | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=HCV9465 | state=NY | license_type=PAS | summons_number=4842468397 | issue_date=05/22/2023 | violation_time=08:19A | violation_county= | fine_amount=50 | penalty_amount=25 | amount_due=0
plate=JMN2506 | state=NY | license_type=PAS | summons_number=9085879486 | issue_date=11/02/2023 | violation_time=08:56A | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=KUB6996 | state=NY | license_type=PAS | summons_number=9085879425 | issue_date=11/02/2023 | violation_time=08:31A | violation_county= | fine_amount=65 | penalty_amount=60 | amount_due=0
plate=JPL5360 | state=NY | license_type=PAS | summons_number=8840979244 | issue_date=02/24/2021 | violation_time=11:50A | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=94471JZ | state=NY | license_type=COM | summons_number=8823976352 | issue_date=01/28/2021 | violation_time=11:56A | violation_county= | fine_amount=115 | penalty_amount=30 | amount_due=0
plate=D49MZS | state=NJ | license_type=PAS | summons_number=8850379365 | issue_date=06/09/2021 | violation_time=06:27A | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
plate=HYS9858 | state=NY | license_type=PAS | summons_number=8850379389 | issue_date=06/09/2021 | violation_time=06:36A | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
plate=HSC3072 | state=NY | license_type=PAS | summons_number=8850379390 | issue_date=06/09/2021 | violation_time=06:41A | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=HXW4623 | state=NY | license_type=OMS | summons_number=8850379419 | issue_date=06/09/2021 | violation_time=07:11A | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
plate=PI816Y | state=FL | license_type=PAS | summons_number=8542148022 | issue_date=10/09/2018 | violation_time= | violation_county= | fine_amount= | penalty_amount= | amount_due=
plate=KNM7446 | state=NY | license_type=PAS | summons_number=4842468683 | issue_date=05/22/2023 | violation_time=08:23A | violation_county= | fine_amount=50 | penalty_amount=25 | amount_due=0
